product_id,product_name,brand,final_price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup
2890664646,"AMITOFO Compression Socks for Women Wide Calf 3 Pairs Men Circulation 20-30mmHg Plus Size Knee High Support Stockings for Medical | Circulation | Nurses | Running | Travel,Black 4XL",AMITOFO,18.0,25.99,8.0,85,4.3,Socks,Clothing,True,False
1129949808,Amay Rod Pocket Curtain Panel Draperies Beige 72 Inch Wide by 72 Inch Long-1 Panel,Amay's,86.4,108.0,21.6,2,3,Shop Curtains,Home,True,False
5172156163,BERANMEY Cute Smile Face Slippers for Women Perfect Soft Plush Comfy Warm Slip-On Happy Face Slippers fo Women Indoor fluffy Smile House Slippers for Women and Men Non-slip Fuzzy Flat Slides,BERANMEY,14.0,25.99,12.0,282,4.2,Womens Slide Slippers,Clothing,True,False
890933549,Woman Within Women's Plus Size Perfect Long-Sleeve Henley Tee,Woman Within,20.0,23.72,3.77,1127,4.3,Plus Size Tshirts,Clothing,True,False
3599349614,"NELEUS Men's Workout Athletic Pants Running Sweatpants With Pockets Relaxed Fit,Black+Gray,US Size L",NELEUS,33.0,60.0,27.02,93,4.7,Mens Workout Pants,Clothing,True,False
5055455726,DreamFish Womens Nightgown Short Sleeve Sleepshirt V Neck Sleepwear Casual Loungewear Ladies Sleepwear,DreamFish,17.0,29.99,13.0,186,4.8,Womens Nightshirts & Gowns,Clothing,True,False
460164326,Bruno Marc Mens Classic Oxfords Shoes Fashion Casual Leather Shoes for Men Lace Up Comfort Oxford Shoes Lg19008M Tan Size 12,Bruno Marc,36.0,39.99,4.0,177,4.8,Mens Oxfords Shoes,Clothing,True,False
2783711895,Amay Rod Pocket Curtain Panel Baby Pink 120 Inch Wide by 132 Inch Long-1 Panel,Amay's,155.0,194.0,38.8,2,5,Shop Curtains,Home,True,False
3250236923,"Amay 800TC Organic Cotton Emperor Size Fitted Sheet ( 84X84 ) Fits Mattress Upto 10-12 inches, Chocolate Solid",Amay's,55.8,62.0,6.2,2,5,Cooling Sheets,Home,True,False
2417910874,Vionic Womens Alvana Leather Thong Slide Sandals,Vionic,67.0,100.99,34.0,103,2.9,Womens Slides,Clothing,True,False
5326305256,Ryka Womens Viv Snake Print Lifestyle Fashion Sneakers,Ryka,29.0,36.99,8.0,2195,4.4,Womens Casual Shoes,Clothing,True,False
